text,annotations
my wife had the fried shrimp which are huge and loved it .,"[('fried shrimp', 'food style options', 'positive', 'huge')]"
"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .","[('place', 'restaurant general', 'positive', 'amazed')]"
this place is the most japanese it can ever get .,"[('place', 'restaurant miscellaneous', 'positive', 'japanese')]"
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .","[('signs', 'restaurant miscellaneous', 'positive', 'japanese')]"
this place is worth an one - hour drive .,"[('place', 'restaurant general', 'positive', 'worth')]"
"i am so coming back here again , as much as i can .","[('null', 'restaurant general', 'positive', 'null')]"
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .","[('leon', 'restaurant general', 'positive', 'casual')]"
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .","[('staff', 'service general', 'positive', 'enjoy')]"
decent wine at reasonable prices .,"[('wine', 'drinks quality', 'neutral', 'decent')]"
"our teenage kids love it , too .","[('null', 'restaurant general', 'positive', 'love')]"
"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .","[('zucchero pomodori', 'restaurant general', 'positive', 'null')]"
this is by far my favorite place in the neighborhood .,"[('place', 'restaurant general', 'positive', 'favorite')]"
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .","[('service', 'service general', 'positive', 'excellent')]"
i ' m partial to the gnocchi .,"[('gnocchi', 'restaurant general', 'positive', 'partial')]"
this place is incredibly tiny .,"[('place', 'ambience general', 'negative', 'tiny')]"
they refuse to seat parties of 3 or more on weekends .,"[('null', 'service general', 'negative', 'refuse')]"
the hostess is rude to the point of being offensive .,"[('hostess', 'service general', 'negative', 'rude')]"
the food was bland oily .,"[('food', 'food quality', 'negative', 'bland oily')]"
i just do n ' t understand all the hype . . .,"[('null', 'restaurant general', 'negative', 'hype')]"
"we have been to this place many times , and always have great food , wine , and service .","[('food', 'food quality', 'positive', 'great')]"
"we were worried we would have trouble getting in , but somehow managed to have a short wait .","[('wait', 'service general', 'positive', 'short')]"
as always we had a great glass of wine while we waited .,"[('glass of wine', 'drinks quality', 'positive', 'great')]"
"when we sat , we got great and fast service .","[('service', 'service general', 'positive', 'great')]"
the people that work there are always so friendly you forget you are in new york sometimes .,"[('people', 'service general', 'positive', 'friendly')]"
this is a fun restaurant to go to .,"[('restaurant', 'restaurant general', 'positive', 'fun')]"
the pizza is yummy and i like the atmoshpere .,"[('pizza', 'food quality', 'positive', 'yummy')]"
but the pizza is way to expensive .,"[('pizza', 'food prices', 'negative', 'expensive')]"
"a large is $ 20 , and toppings are about $ 3 each .","[('null', 'food prices', 'negative', 'null')]"
i went there for lunch and it was not as good as i expected from the reviews i read .,"[('lunch', 'food quality', 'negative', 'not as good as i expected')]"
sauce was watery and the food did n ' t have much flavor .,"[('sauce', 'food quality', 'negative', 'watery')]"
i do n ' t think i would go again .,"[('null', 'restaurant general', 'negative', 'null')]"
this place is great .,"[('place', 'restaurant general', 'positive', 'great')]"
the waitress was very patient with us and the food is phenomenal !,"[('waitress', 'service general', 'positive', 'patient')]"
"service was prompt , friendly and great .","[('service', 'service general', 'positive', 'prompt')]"
slightly on the pricey side but worth it !,"[('null', 'restaurant prices', 'negative', 'pricey')]"
great pizza and fantastic service .,"[('pizza', 'food quality', 'positive', 'great')]"
"there was a small wait , but shorter than i expected .","[('wait', 'service general', 'positive', 'small')]"
located at the end of a magnificent block .,"[('null', 'location general', 'positive', 'magnificent')]"
very cozy and warm inside . . . . .,"[('null', 'ambience general', 'positive', 'cozy')]"
i will be back !,"[('null', 'restaurant general', 'positive', 'null')]"
this is the best sushi in new york city - hands down .,"[('sushi', 'food quality', 'positive', 'best')]"
the place is small and cramped but the food is fantastic .,"[('place', 'ambience general', 'negative', 'small')]"
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .","[('sushi', 'food quality', 'positive', 'great')]"
"with the great variety on the menu , i eat here often and never get bored .","[('menu', 'food style options', 'positive', 'great variety')]"
"the atmosphere is n ' t the greatest , but i suppose that ' s how they keep the prices down .","[('atmosphere', 'ambience general', 'negative', ""is n ' t the greatest"")]"
it ' s all about the food ! !,"[('food', 'food quality', 'positive', 'null')]"
first it took us a long time to find the place .,"[('place', 'restaurant miscellaneous', 'negative', 'null')]"
"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .","[('menu', 'food style options', 'negative', 'null')]"
"those rolls were big , but not good and sashimi was n ' t fresh .","[('rolls', 'food style options', 'neutral', 'big')]"
"they were dry and disgusting , i did n ' t even finish my first piece .","[('null', 'food quality', 'negative', 'dry')]"
hurley ' s is like cheers where everyone knows your name and they are actually glad you came .,"[('null', 'service general', 'positive', 'glad')]"
"try the crunchy tuna , it is to die for .","[('crunchy tuna', 'food quality', 'positive', 'die for')]"
"try everything for that matter , it is all good .","[('null', 'food quality', 'positive', 'good')]"
i have been going there since it opened and i ca n ' t get enough .,"[('null', 'restaurant general', 'positive', 'null')]"
first went here to enjoy their garden terrace .,"[('garden terrace', 'ambience general', 'positive', 'enjoy')]"
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .","[('food', 'food quality', 'positive', 'amazing')]"
"the steak tartare is a great bet , they fix it for you at the table .","[('steak tartare', 'food style options', 'positive', 'great')]"
"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .","[('open kitchen', 'ambience general', 'positive', 'charm')]"
"great wine selection , gigondas is worth the price , and the house champagne is a great value .","[('wine selection', 'drinks style options', 'positive', 'great')]"
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .","[('vibe', 'ambience general', 'positive', 'good')]"
"have recommended the place to friends , always gets good response .","[('place', 'restaurant miscellaneous', 'positive', 'recommended')]"
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !","[('pizza', 'food quality', 'positive', 'null')]"
i take all my nyc guests to vt ' s .,"[(""vt ' s"", 'restaurant miscellaneous', 'positive', 'null')]"
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !","[('neighborhood', 'location general', 'positive', 'great')]"
i ' ve been there three times and have always had wonderful experiences .,"[('null', 'restaurant general', 'positive', 'wonderful')]"
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,"[('setting', 'ambience general', 'positive', 'intimate')]"
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .,"[('mizu', 'restaurant general', 'positive', 'enjoy')]"
even after they overcharged me the last time i was there .,"[('null', 'service general', 'negative', 'overcharged')]"
it ' s delicious !,"[('null', 'food quality', 'positive', 'delicious')]"
"moules were excellent , lobster ravioli was very salty !","[('moules', 'food quality', 'positive', 'excellent')]"
"took my mom for mother ' s day , and the maitre d ' was pretty rude .","[(""maitre d '"", 'service general', 'negative', 'rude')]"
"told us to sit anywhere , and when we sat he said the table was reserved .","[('null', 'service general', 'negative', 'null')]"
stepped on my foot on the second time he reached over me to adjust lighting .,"[('null', 'service general', 'negative', 'null')]"
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,"[('dessert', 'food style options', 'negative', 'tiny')]"
the drinks are always well made and wine selection is fairly priced .,"[('drinks', 'drinks quality', 'positive', 'well made')]"
try their chef ' s specials - - they are to die for .,"[(""chef ' s specials"", 'food quality', 'positive', 'die for')]"
"service is not exactly five star , but thats not really a big deal .","[('service', 'service general', 'neutral', 'not exactly five star')]"
downstairs lounge is always a good attraction,"[('downstairs lounge', 'ambience general', 'positive', 'good attraction')]"
the exotic food is beautifully presented and is a delight in delicious combinations .,"[('exotic food', 'food style options', 'positive', 'beautifully presented')]"
it is also extremely well priced .,"[('null', 'food prices', 'positive', 'extremely well')]"
the staff is incredibly helpful and attentive .,"[('staff', 'service general', 'positive', 'helpful')]"
the bar is very well stocked with interesting beers and well priced wines .,"[('bar', 'drinks style options', 'positive', 'well stocked')]"
this is one of my favorite restaurants and it is not to be missed .,"[('null', 'restaurant general', 'positive', 'favorite')]"
your friends will thank you for introducing them to this gem !,"[('null', 'restaurant general', 'positive', 'gem')]"
"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .","[('leon', 'restaurant general', 'negative', 'null')]"
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .","[('waitress', 'service general', 'negative', 'null')]"
"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .","[('null', 'service general', 'negative', 'null')]"
such a disappointment . . .,"[('null', 'service general', 'negative', 'disappointment')]"
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one","[('service', 'service general', 'negative', 'rude')]"
i loved everythig about it - especially the shows and actors .,"[('shows', 'ambience general', 'positive', 'loved')]"
our server was very helpful and friendly .,"[('server', 'service general', 'positive', 'helpful')]"
the food was good too .,"[('food', 'food quality', 'positive', 'good')]"
the tuna and wasabe potatoes are excellent .,"[('tuna', 'food quality', 'positive', 'excellent')]"
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,"[('outdoor atmosphere', 'location general', 'positive', 'wonderful')]"
"inside is a little cramped , but to be expected .","[('null', 'ambience general', 'neutral', 'cramped')]"
service was prompt and courteous .,"[('service', 'service general', 'positive', 'prompt')]"
this was a repeat visit and we ' ll definitely be back again .,"[('null', 'restaurant general', 'positive', 'null')]"
"great service , great food .","[('service', 'service general', 'positive', 'great')]"
prices are in line .,"[('null', 'restaurant prices', 'neutral', 'in line')]"
but too far east !,"[('null', 'location general', 'negative', 'far')]"
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .","[('pizza', 'food quality', 'positive', 'delicious')]"
"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .","[('appetizer selection', 'food style options', 'negative', 'stinks')]"
"also , because it is so thin , it gets cold very quickly and its not that filling .","[('null', 'food quality', 'negative', 'cold')]"
wait staff is blantently unappreciative of your business but its the best pie on the uws !,"[('wait staff', 'service general', 'negative', 'unappreciative')]"
by far the best salad i have had in a fast food restaurant .,"[('salad', 'food quality', 'positive', 'best')]"
over 100 different choices to create your own .,"[('null', 'food style options', 'positive', 'null')]"
a must try !,"[('null', 'restaurant general', 'positive', 'null')]"
"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .","[('restaurant', 'restaurant general', 'positive', 'great')]"
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .","[('null', 'food quality', 'positive', 'delicious')]"
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .","[('chicken pot pie', 'food quality', 'positive', 'exceptional')]"
"with so many poor experiences to be had in the theater district , is truly an excellent find !","[('null', 'restaurant general', 'positive', 'excellent')]"
the staff is no nonsense .,"[('staff', 'service general', 'positive', 'no nonsense')]"
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,"[('bagels', 'food quality', 'positive', 'better')]"
worth visiting the 1st ave spot because it is the original store .,"[('1st ave spot', 'restaurant miscellaneous', 'positive', 'worth')]"
"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !","[('uni hand roll', 'food quality', 'positive', 'heaven')]"
the sake menu should not be overlooked !,"[('sake menu', 'drinks style options', 'positive', 'overlooked')]"
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .","[('null', 'restaurant general', 'positive', 'gem')]"
try the lobster teriyaki and the rose special roll .,"[('lobster teriyaki', 'food quality', 'positive', 'null')]"
"service was very good - prompt , attentive and non - intrusive .","[('service', 'service general', 'positive', 'good')]"
"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .","[('food', 'food quality', 'positive', 'good')]"
wine list selection is good and wine - by - the - glass was generously filled to the top .,"[('wine list selection', 'drinks style options', 'positive', 'good')]"
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,"[('traditional french decour', 'ambience general', 'positive', 'pleasant')]"
"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .","[('cafe spice', 'restaurant general', 'positive', 'best')]"
"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .","[('service', 'service general', 'neutral', 'good')]"
"seating is always prompt , though the restaurant does fill up in the evening .","[('seating', 'service general', 'positive', 'prompt')]"
"food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .","[('food', 'food quality', 'positive', 'good')]"
"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .","[('null', 'service general', 'neutral', 'null')]"
"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .","[('decor', 'ambience general', 'positive', 'vibrant')]"
i have never been disappointed in the red eye .,"[('red eye', 'restaurant general', 'positive', 'never been disappointed')]"
"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .","[('live jazz band', 'ambience general', 'positive', 'taken')]"
it ' s simply the best meal in nyc .,"[('meal', 'food quality', 'positive', 'best')]"
you can not go wrong at the red eye grill .,"[('red eye grill', 'restaurant general', 'positive', 'wrong')]"
"if we were to move from the upper east side , we would genuinely miss this restaurant .","[('restaurant', 'restaurant general', 'positive', 'miss')]"
the restaurant is cute but not upscale .,"[('restaurant', 'restaurant general', 'neutral', 'cute')]"
the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .,"[('food', 'food quality', 'positive', 'diamond')]"
i would highly recommend it .,"[('null', 'restaurant general', 'positive', 'recommend')]"
it ' s one of our favorite places to eat in ny .,"[('null', 'restaurant general', 'positive', 'favorite')]"
we had a great time at the jekyll and hyde pub last night .,"[('jekyll and hyde pub', 'restaurant general', 'positive', 'great time')]"
after really enjoying ourselves at the bar we sat down at a table and had dinner .,"[('bar', 'restaurant miscellaneous', 'positive', 'enjoying')]"
the server was really cool and served us our food and drinks with a smile .,"[('server', 'service general', 'positive', 'cool')]"
the place ' s decor and hidden bathrooms made for a good laugh .,"[('decor', 'ambience general', 'positive', 'good laugh')]"
i highly recommend visiting this restaurant and having dinner and drinks !,"[('restaurant', 'restaurant general', 'positive', 'recommend')]"
"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .","[('place', 'restaurant miscellaneous', 'positive', 'great')]"
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .","[('beers', 'drinks style options', 'positive', 'happy')]"
the entertainment was great they have shows that go on through out the dinner .,"[('entertainment', 'ambience general', 'positive', 'great')]"
you will not be disapointed at all .,"[('null', 'restaurant general', 'positive', 'not be disapointed')]"
we were not dissappointed in the least bit by this little gem .,"[('null', 'restaurant general', 'positive', 'gem')]"
the bagel was huge .,"[('bagel', 'food style options', 'positive', 'huge')]"
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,"[('bagel', 'food style options', 'negative', 'messy')]"
i loved it and would highly recommend .,"[('null', 'restaurant general', 'positive', 'loved')]"
this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .,"[('food', 'food quality', 'positive', 'delicious')]"
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,"[('lobster roll', 'food quality', 'positive', 'recommend')]"
"other guests enjoyed pizza , santa fe chopped salad and fish and chips .","[('pizza', 'food quality', 'positive', 'enjoyed')]"
"i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service .","[('food', 'food quality', 'positive', 'recommend')]"
all the staff is absolutely professional ! !,"[('staff', 'service general', 'positive', 'professional')]"
"( that is a must , but not every restaurant can do . . . )","[('null', 'service general', 'positive', 'must')]"
"there ' s nice and quiet , small but enough for 6 ( or more ) .","[('null', 'ambience general', 'positive', 'nice')]"
this restaurant was way overhyped .,"[('restaurant', 'restaurant general', 'negative', 'overhyped')]"
my chow fun and chow see was really bland and oily .,"[('chow fun and chow see', 'food quality', 'negative', 'bland')]"
okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .,"[('null', 'food quality', 'negative', 'bland')]"
the scallion pancakes and fried dumplings were nothing out of the ordinary .,"[('scallion pancakes', 'food quality', 'neutral', 'ordinary')]"
the service was the only thing good about this restaurant .,"[('service', 'service general', 'positive', 'good')]"
"it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .","[('sushi', 'food quality', 'negative', 'below average')]"
i definitely would n ' t go back .,"[('null', 'restaurant general', 'negative', 'null')]"
their pad penang is delicious and everything else is fantastic .,"[('pad penang', 'food quality', 'positive', 'delicious')]"
the price is reasonable although the service is poor .,"[('service', 'service general', 'negative', 'poor')]"
"great for a romantic evening , or a fun evening with friends . . .","[('null', 'restaurant miscellaneous', 'positive', 'great')]"
i will be going back very soon .,"[('null', 'restaurant general', 'positive', 'null')]"
keep up the good work .,"[('null', 'restaurant general', 'positive', 'good')]"
it was wonderful .,"[('null', 'restaurant general', 'positive', 'wonderful')]"
"the salads are delicious , both refreshing and very spicy .","[('salads', 'food quality', 'positive', 'delicious')]"
we had pam ' s special fried fish and it was amazing .,"[(""pam ' s special fried fish"", 'food quality', 'positive', 'amazing')]"
too large for just two people but nothing was left .,"[('null', 'food style options', 'negative', 'too large')]"
"great vibe , lots of people .","[('vibe', 'ambience general', 'positive', 'great')]"
"my husbands was perfect , my was well done and dry .","[('null', 'food quality', 'positive', 'perfect')]"
"i did n ' t complain , i liked the atmosphere so much .","[('atmosphere', 'ambience general', 'positive', 'liked')]"
on a hot day it was fabulous to stop in and enjoy lunch .,"[('null', 'restaurant general', 'positive', 'fabulous')]"
"ambience is so cute and quaint , good for business although we were there on vacation .","[('ambience', 'ambience general', 'positive', 'cute')]"
salads were fantastic .,"[('salads', 'food quality', 'positive', 'fantastic')]"
although we were looking for regular lettuce and some walnuts the salads we got were great .,"[('salads', 'food quality', 'positive', 'great')]"
ingredients are organic which is a real plus for me .,"[('ingredients', 'food quality', 'positive', 'organic')]"
we will be back .,"[('null', 'restaurant general', 'positive', 'null')]"
the spicy tuna roll is huge and probably the best that i ' ve had at this price range .,"[('spicy tuna roll', 'food style options', 'positive', 'huge')]"
the yellowtail was particularly good as well .,"[('yellowtail', 'food quality', 'positive', 'good')]"
"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .","[('all you can eat deal', 'food style options', 'negative', 'limited')]"
"in any event , this is a place i ' ll be sure to stop by again when i ' m in this part of town .","[('place', 'restaurant general', 'positive', 'null')]"
big wong gets big ups for a fine establishment .,"[('big wong', 'restaurant general', 'positive', 'big ups')]"
"they have it all - - great price , food , and service .","[('food', 'food quality', 'positive', 'great')]"
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,"[('atmosphere', 'ambience general', 'negative', 'noisy')]"
the food is prepared quickly and efficiently .,"[('null', 'service general', 'positive', 'quickly')]"
"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .","[('null', 'food prices', 'positive', 'reasonable')]"
the takeout is great too since they give high quality tupperware as well .,"[('takeout', 'service general', 'positive', 'great')]"
enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .,"[('caesar salad', 'food quality', 'positive', 'enjoyed')]"
we both opted for a pasta dish and they were served timely and fresh .,"[('pasta dish', 'food quality', 'positive', 'fresh')]"
"we concluded with tiramisu chocolate cake , both were delicious .","[('tiramisu chocolate cake', 'food quality', 'positive', 'delicious')]"
