text,annotations
"am i just unlucky , or was this a bad batch ?","[('null', 'laptop quality', 'negative', 'unlucky')]"
i ' ve only found 2 other recent reviews of this product that had the same problem ( go ahead and search for them in the reviews ) .,"[('product', 'laptop quality', 'negative', 'null')]"
volume was not working .,"[('volume', 'multimedia devices operation performance', 'negative', 'null')]"
they would help me only if i bought an ongoing support contract with them .,"[('support contract', 'support general', 'negative', 'null')]"
horrible way to run a company so i returned the item .,"[('item', 'laptop general', 'negative', 'null')]"
"i purchased this laptop on the 11th of june 2018 and today is the 25th , which means i have had it for just about 2 weeks .","[('laptop', 'laptop general', 'neutral', 'null')]"
i noticed yesterday that the laptop was not charging anymore for reasons i can not deduce .,"[('laptop', 'laptop quality', 'negative', 'null')]"
it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,"[('charging light', 'hardware operation performance', 'negative', 'null')]"
i will attempt to return it as i am out of the us right now .,"[('null', 'laptop general', 'negative', 'null')]"
it is quite disappointing .,"[('null', 'laptop general', 'negative', 'disappointing')]"
i am really concerned that this was not strongly made and just pretty .,"[('null', 'laptop general', 'negative', 'just pretty')]"
now a few weeks later monitor has died again .,"[('monitor', 'display general', 'negative', 'died')]"
not worth it .,"[('null', 'laptop general', 'negative', 'not worth')]"
i will return it .,"[('null', 'laptop general', 'negative', 'null')]"
i thought it was a bad hdmi connection .,"[('hdmi connection', 'ports connectivity', 'negative', 'bad')]"
"this laptop is beautiful , and that ' s about it .","[('laptop', 'laptop general', 'positive', 'beautiful')]"
it was fully charged and i only turned it on a total of 3 times before the screen went blank .,"[('null', 'laptop operation performance', 'negative', 'null')]"
at all and it took several minutes to boot up .,"[('boot up', 'os operation performance', 'negative', 'null')]"
turned it off and on and the screen still stays black but you can hear it running .,"[('screen', 'display operation performance', 'negative', 'null')]"
cons - no light to indicate caps lock .,"[('caps lock', 'keyboard design features', 'negative', 'cons')]"
"delete and power button too close to each other and looks the same , i accidentally pressed the power button couple of times .","[('delete and power button', 'keyboard design features', 'negative', 'null')]"
the built - in speaker is below average .,"[('built - in speaker', 'multimedia devices general', 'negative', 'below average')]"
"pros - slim , lightweight laptop due to 8th gen core - i5 .","[('laptop', 'laptop design features', 'positive', 'pros')]"
"on day one , i had been using it for maybe 2 hours and it randomly shut off .","[('null', 'laptop operation performance', 'negative', 'null')]"
"then the next day , same thing , screen goes black and it dies .","[('screen', 'display operation performance', 'negative', 'null')]"
im returning it .,"[('null', 'laptop general', 'negative', 'null')]"
i will constantly be thinking about how it will probably fall apart in a few moths .,"[('null', 'laptop quality', 'negative', 'null')]"
"aside from that , laptop seems fine .","[('laptop', 'laptop general', 'positive', 'fine')]"
feel like at max brightness it just isn ' t enough .,"[('null', 'display operation performance', 'negative', 'null')]"
no backlit keyboard is kinda a bummer but i digress .,"[('backlit keyboard', 'keyboard design features', 'negative', 'bummer')]"
the issue is that i got a faulty laptop and that ' s why the negative review .,"[('laptop', 'laptop quality', 'negative', 'faulty')]"
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .","[('asus vivobook', 'laptop price', 'positive', 'null')]"
their only solution was for me to go through the whole rma process and mail the laptop back for repair which would take weeks .,"[('null', 'support general', 'negative', 'null')]"
"i ' m amazed how bad this machine is for the money , and for being described as a ` ` mid - level gamer . ` `","[('machine', 'laptop price', 'negative', 'bad')]"
it stutters on a 10 year old game .,"[('null', 'laptop operation performance', 'negative', 'null')]"
"the form factor is nice , but the power key is in the upper right , easy to hit when using backspac nor page up .","[('form factor', 'laptop design features', 'positive', 'nice')]"
thanks amazon for your great return policy !,"[('amazon', 'company general', 'positive', 'great')]"
super thin - love the color - had to completely remove the operating system though - too many viruses already on the computer when received - had to get my own operating system and re - install everything,"[('operating system', 'os general', 'negative', 'null')]"
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .,"[('6 inch laptop', 'laptop quality', 'negative', 'fragile')]"
sad that i can ' t return this one .,"[('null', 'warranty general', 'negative', 'sad')]"
plus the screen is bland .,"[('screen', 'display operation performance', 'negative', 'bland')]"
with this asus i ' m experiencing 2 very disappointing issues .,"[('asus', 'laptop general', 'negative', 'disappointing')]"
graphic issues : after opening any page or window with a black or dark color and i go back to a more bright or white page it takes at least 5 good second to gain the full luminosity,"[('graphic', 'graphics operation performance', 'negative', 'null')]"
"suddenly the keyboard goes crazy , starting on his own typing non stop ` ` mmmmmmmmm ` ` .","[('keyboard', 'keyboard operation performance', 'negative', 'crazy')]"
this is very disappointing an causing me big issues while i write .,"[('null', 'keyboard operation performance', 'negative', 'disappointing')]"
"it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .","[('null', 'laptop design features', 'positive', 'great')]"
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .,"[('keys', 'keyboard usability', 'positive', 'easy')]"
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreadsheets or presentations .,"[('laptop', 'laptop general', 'positive', 'well constructed')]"
i double checked the outside labels and upon opening the box saw that the laptop had several deep scratches on the bottom of it .,"[('laptop', 'laptop quality', 'neutral', 'null')]"
i contacted amazon and have been issued a refund and ordered a replacement .,"[('amazon', 'company general', 'neutral', 'null')]"
the m key popped off during initial setup .,"[('m key', 'keyboard quality', 'negative', 'null')]"
amazon is 2 - day shipping me a replacement .,"[('amazon', 'company general', 'neutral', 'null')]"
"i love it at first , but today my laptop wasn ' t not charging any more .","[('laptop', 'laptop general', 'positive', 'love')]"
i noticed today the laptop was not charging anymore .,"[('laptop', 'laptop operation performance', 'negative', 'null')]"
it is very very disappointing .,"[('null', 'laptop general', 'negative', 'disappointing')]"
edit : reinstalled the driver now the audio is better on earphones .,"[('audio', 'multimedia devices general', 'positive', 'better')]"
camera is sd but not a problem .,"[('camera', 'hardware general', 'neutral', 'null')]"
fingerprint scanner works well .,"[('fingerprint scanner', 'multimedia devices general', 'positive', 'well')]"
back lit keyboard should be a standard by now !,"[('back lit keyboard', 'keyboard general', 'neutral', 'null')]"
battery is all day amazing,"[('battery', 'battery general', 'positive', 'amazing')]"
with ssd lightning fast start up,"[('ssd', 'memory operation performance', 'positive', 'fast')]"
no back light keyboard,"[('keyboard', 'keyboard design features', 'negative', 'null')]"
performance is mediocre,"[('null', 'laptop operation performance', 'negative', 'mediocre')]"
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,"[('build', 'laptop design features', 'positive', 'perfect')]"
"my friends , both female and male , are going to by this set up for their travel needs but for me it is lacking .","[('set up', 'laptop usability', 'negative', 'lacking')]"
this adds to my need for a strong system and willing to sacrifice some weight for strength .,"[('system', 'os operation performance', 'positive', 'strong')]"
best for : if you are looking for a travel laptop and are planning on doing light work this is an amazing buy for the price .,"[('laptop', 'laptop portability', 'positive', 'amazing')]"
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,"[('null', 'laptop portability', 'positive', 'light')]"
even with the fan and heat if you use a cool mat on your lap you will be find especially with the screen being amazing for the price .,"[('fan', 'fans cooling general', 'negative', 'null')]"
for the price it is an amazing starting point and hard to beat especially with such an amazing brand such as asus .,"[('null', 'laptop price', 'positive', 'amazing')]"
oh and this is a beautiful machine and the lid is amazing .,"[('machine', 'laptop design features', 'positive', 'beautiful')]"
"i like the laptop for it ' s hardware , and it ' s working properly .","[('hardware', 'hardware general', 'positive', 'like')]"
the actual laptop is very much darker and blue .,"[('actual laptop', 'laptop design features', 'neutral', 'null')]"
i ' m not at all happy about that .,"[('null', 'laptop design features', 'negative', 'not at all happy')]"
the new computer failed again with the same error .,"[('computer', 'laptop quality', 'negative', 'failed')]"
i am sure amazon will exchange it again but it is not worth the time and hassle .,"[('amazon', 'company general', 'neutral', 'null')]"
the speakers are also not great and the max volume on watching netflix or other videos is rather quite .,"[('speakers', 'multimedia devices operation performance', 'negative', 'not great')]"
"its an ok laptop , it makes crackling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .","[('laptop', 'laptop operation performance', 'negative', 'annoying')]"
the computer constantly pauses or stutters and then continues when it comes to loading web pages and working on documents .,"[('computer', 'laptop quality', 'negative', 'null')]"
"overall , i ' m not very pleased with this computer .","[('computer', 'laptop general', 'negative', 'not very pleased')]"
not happy with this one .,"[('null', 'laptop general', 'negative', 'not happy')]"
"the computer worked well for a few weeks , then the screen backlight died .","[('computer', 'laptop general', 'positive', 'well')]"
the laptop does n ' t work .,"[('laptop', 'laptop quality', 'negative', 'null')]"
i ' ve tried every single option and still ca n ' t use it .,"[('null', 'laptop operation performance', 'negative', 'null')]"
unable to contact asus support for help .,"[('asus support', 'support general', 'negative', 'null')]"
will never buy an asus product again .,"[('asus product', 'laptop general', 'negative', 'null')]"
should ' ve stick with my pixelbook which was awesome and never have me trouble .,"[('pixelbook', 'laptop general', 'positive', 'awesome')]"
"return window is just a month , nothing can be done and now i am on mercy of asus .","[('asus', 'company general', 'negative', 'null')]"
no backlighting on the keyboard .,"[('keyboard', 'keyboard design features', 'negative', 'null')]"
( i had to check that the caps lock was off after typing that last word . ),"[('caps lock', 'keyboard operation performance', 'negative', 'null')]"
"for the backlighting , he sent me some zip files for atk and chipset which i don ' t know how to use and which i shouldn ' t have to use .","[('null', 'support general', 'negative', 'null')]"
the fan blows like crazy and it makes so much noise .,"[('fan', 'fans cooling operation performance', 'negative', 'crazy')]"
i don ' t even think i will be able to work on this it is so distracting .,"[('null', 'laptop operation performance', 'negative', 'distracting')]"
"this laptop was delivered with the screen broken , it was the christmas gift and when we removed the gift paper se found a laptop thant not worked , that ' s unfair and that should not be done yo any people on christmas night","[('null', 'laptop general', 'negative', 'unfair')]"
battery life is only 3 .,"[('battery life', 'battery operation performance', 'negative', 'null')]"
high speed laptop,"[('laptop', 'laptop operation performance', 'positive', 'high')]"
mousepad doesn ' t work .,"[('mousepad', 'hardware quality', 'negative', 'null')]"
i have used this laptop only for work and the battery lasts and hour at most on mid performance .,"[('laptop', 'laptop general', 'negative', 'null')]"
will not be buying asus again,"[('asus', 'laptop general', 'negative', 'null')]"
two cons i ' m disappointed about is the battery life and the flimsy keyboard .,"[('battery life', 'battery operation performance', 'negative', 'cons')]"
has a genaric feel to it .,"[('null', 'laptop general', 'neutral', 'genaric')]"
they seemed to do nothing : fixing it was apparently my job .,"[('null', 'support general', 'negative', 'null')]"
so now i ' m stuck with this dog but i ' m going to do all i can to get out the word that asus support is not the customer ' s friend : it ' s the customer ' s cross to bear .,"[('asus support', 'support general', 'negative', 'null')]"
i ' ve had to reset the computer multiple times .,"[('computer', 'laptop operation performance', 'negative', 'null')]"
i returned it because the speaker is dead low .,"[('speaker', 'multimedia devices operation performance', 'negative', 'low')]"
good laptop but the webcam isn ' t good .,"[('laptop', 'laptop general', 'positive', 'good')]"
"i would not recommend you buying this laptop , the specs are fine for the price , but the hardware is rubbish .","[('laptop', 'laptop general', 'negative', 'not recommend')]"
power button is right next to the delete key .,"[('power button', 'keyboard design features', 'negative', 'null')]"
"all around , a very lacking laptop .","[('laptop', 'laptop general', 'negative', 'lacking')]"
* * returning the device - - that unhappy with the item .,"[('device', 'laptop general', 'negative', 'unhappy')]"
dead pixel on display on arrival,"[('display', 'display quality', 'negative', 'dead')]"
the laptop charger has sparked repeatedly .,"[('laptop charger', 'power supply operation performance', 'negative', 'null')]"
i will be returning this item .,"[('item', 'laptop general', 'negative', 'null')]"
do not buy it will not search what you type in i want my money back,"[('null', 'laptop general', 'negative', 'null')]"
this computer arrived fine but will not charge .,"[('computer', 'laptop general', 'positive', 'fine')]"
how can a brand new computer not charge properly ?,"[('computer', 'laptop operation performance', 'negative', 'null')]"
screen backlight stopped working after just one month of light use .,"[('screen backlight', 'display operation performance', 'negative', 'null')]"
i received this laptop promptly .,"[('laptop', 'shipping general', 'positive', 'null')]"
"great battery life , a matte screen ( non - glossy ) full hd .","[('battery life', 'battery general', 'positive', 'great')]"
it will however win with substance .,"[('null', 'laptop general', 'positive', 'win')]"
its about what is inside of this amazing product .,"[('product', 'laptop general', 'positive', 'amazing')]"
"the screen quality is excellent , and i am fussy due to my interest in digital imagery .","[('screen quality', 'display quality', 'positive', 'excellent')]"
"i can tell you for web surfing , the battery life is on par with what is advertised .","[('battery life', 'battery general', 'neutral', 'null')]"
i could n ' t have put my feelings about my new acer aspire e 15 e5 - 576g - 5762 better .,"[('acer aspire e 15 e5 - 576g - 5762', 'laptop general', 'positive', 'better')]"
"the 8th generation processor and ssd make for a very snappy computer , and the easy upgradablility is helpful now and will be useful in the future .","[('computer', 'laptop operation performance', 'positive', 'snappy')]"
"i / o : tons of ports , a dvd burner , solid keyboard with good feel to the key strokes , and a very precise and responsive trackpad .","[('ports', 'ports general', 'positive', 'null')]"
"plus the screen is matte , so bright lights are n ' t glaring .","[('screen', 'display design features', 'positive', 'null')]"
overall impression : this is a killer laptop for a killer deal !,"[('laptop', 'laptop general', 'positive', 'killer')]"
"i ' ve also discovered that the battery is better than i first thought , and will last 8 hours for light - duty activities such as web - surfing and word processing ; longer with power management on .","[('battery', 'battery quality', 'positive', 'better')]"
"my overall impression has not changed in the past 8 months , and i am still very impressed by it .","[('null', 'laptop general', 'positive', 'impressed')]"
"thanks to its ssd , it boots windows 10 pretty fast , bloatware is kept to a minimum ( please uninstall norton before doing anything else .","[('windows 10', 'os operation performance', 'positive', 'fast')]"
": p ) , and the machine is definitely zippy .","[('machine', 'laptop operation performance', 'positive', 'zippy')]"
"oh , and the nvidia card is plenty capable for gaming at medium settings at least ( grid autosport fps avg is in the 80s / 90s or so )","[('nvidia card', 'graphics operation performance', 'positive', 'capable')]"
+ great and fast cpu and overall fast pc performance,"[('cpu', 'cpu operation performance', 'positive', 'great')]"
+ decent full hd screen ( might be the ' crappiest ' thing on it and it is still good for the price ),"[('hd screen', 'display design features', 'positive', 'decent')]"
- trackpad is too finicky and not my favorite,"[('trackpad', 'hardware usability', 'negative', 'finicky')]"
need to play with it a bit more .,"[('null', 'laptop general', 'neutral', 'null')]"
"as of now , for $ 600 or less , this is a nice buy .","[('null', 'laptop price', 'positive', 'nice')]"
this laptop is the best for the price in my opinion .,"[('laptop', 'laptop general', 'positive', 'best')]"
"there are 2 pretty significant flaws in the design however , one i think might only be on my laptop .","[('laptop', 'laptop design features', 'negative', 'null')]"
- ips full hd screen .,"[('hd screen', 'display general', 'neutral', 'null')]"
- pretty loud speakers .,"[('speakers', 'multimedia devices quality', 'positive', 'loud')]"
best pc bang for this level of buck .,"[('pc bang', 'laptop general', 'positive', 'best')]"
"i will update this post if anything changes from what i posted , after i get the correct memory installed .","[('memory', 'memory general', 'neutral', 'null')]"
i have been beyond pleased with this laptop purchase over the last 6 months of use .,"[('laptop', 'laptop general', 'positive', 'pleased')]"
"i highly recommend this laptop for anyone looking for a great performing machine with an outstanding price ( just to be clear , it won ' t be running the newest high - end games on ultra - high graphics settings , but it still performs phenomenally for its price range and usage category ) .","[('machine', 'laptop operation performance', 'positive', 'great')]"
"this laptop has been my traveling partner as i ' ve been traveling for 4 months , and i ' ve been extremely happy with the battery life , performance , and form of this machine .","[('performance', 'laptop design features', 'positive', 'happy')]"
"it is also amazingly quiet : the ssd doesn ' t make any noise , and the fan only spins up if i am doing something intensive like playing games or running a heafty program - just browsing or watching videos / basic office work will not make this computer more than whisper .","[('ssd', 'hardware operation performance', 'positive', 'amazingly')]"
"so again , the battery is surprisingly great .","[('battery', 'battery general', 'positive', 'great')]"
"the keyboard was a bonus for me : i really like having the number pad for when working with spreadsheets and such , and this size laptop doesn ' t always have one .","[('number pad', 'keyboard usability', 'positive', 'like')]"
"additionally , this has a nice backlight to the keyboard , which will turn off when nothing has been pressed for about 20 seconds ( great for when just watching or reading something ) or can be manually turned off entirely .","[('keyboard', 'keyboard usability', 'positive', 'nice')]"
"in addition , you are gifted with an sd card reader and an optical drive which can read and write cds and dvds ( which i can ' t say i ' ve used other than testing that it worked , but i do remember how hazardous it is to suddenly need something like that and not have it available ) .","[('optical drive', 'optical drives operation performance', 'positive', 'null')]"
"- though the case is plastic , the keyboard area itself has a cold metallic feel .","[('case', 'laptop design features', 'neutral', 'null')]"
- the battery life is at least 8 hours .,"[('battery life', 'battery operation performance', 'positive', 'null')]"
"- the keys , often described as mushy , still have a decent click and distance to them .","[('keys', 'keyboard design features', 'positive', 'decent')]"
- the backlit keyboard looks nice .,"[('backlit keyboard', 'keyboard design features', 'positive', 'nice')]"
- i swear my screen periodically changes brightness but i can ' t tell if this is my imagination or not .,"[('screen', 'display operation performance', 'negative', 'null')]"
- the webcam sucks but i don ' t care about that .,"[('webcam', 'multimedia devices operation performance', 'negative', 'sucks')]"
"- easily upgradeable hdd ( it comes with a 512 ssd , which is fine for now , but is easily changed out )","[('hdd', 'hardware usability', 'positive', 'upgradeable')]"
- windows 10 ( do i really need to list the drawbacks of 10 ?,"[('windows 10', 'os operation performance', 'negative', 'null')]"
"the e15 has a bright , 1080p screen - text is extremely sharp .","[('screen', 'display design features', 'positive', 'bright')]"
i also really like the finish on the case .,"[('case', 'hardware design features', 'positive', 'like')]"
"i wish the power cord were longer , but that ' s minor .","[('power cord', 'power supply design features', 'neutral', 'null')]"
"all in all , i ' m really glad i got this machine .","[('machine', 'laptop design features', 'positive', 'glad')]"
it has served me very well ever since .,"[('null', 'laptop operation performance', 'positive', 'well')]"
so kudos to acer for the keyboard !,"[('keyboard', 'keyboard general', 'positive', 'kudos')]"
this laptop has an amazing price for the hardware it offers .,"[('laptop', 'laptop price', 'positive', 'amazing')]"
multiple ports for anything you need .,"[('ports', 'ports general', 'positive', 'null')]"
decent sized track pad .,"[('track pad', 'hardware design features', 'positive', 'decent')]"
screen is ips .,"[('screen', 'display general', 'neutral', 'null')]"
i figured out the day i got this laptop why the company was able to keep the price of this laptop even with the great hardware inside .,"[('null', 'laptop price', 'positive', 'null')]"
it cost 8 dollars and shipping is not cheap .,"[('shipping', 'shipping price', 'negative', 'not cheap')]"
taking off the entire back of the laptop is very difficult .,"[('laptop', 'hardware design features', 'negative', 'difficult')]"
overall the laptop is great for its price .,"[('laptop', 'laptop price', 'positive', 'great')]"
i should also mention that i got this laptop when it was 100 dollars off .,"[('laptop', 'laptop price', 'positive', 'null')]"
